Gene Names,Cluster label
DERL3,4
DET1,1
DGCR8,17
DGKA,4
DGKB,2
DGKD,9
DGUOK,6
DHRS12,12
DHRS7,17
DHRS9,19
DHX15,13
DHX36,7
DIAPH2,10
DICER1,5
DIDO1,6
DIP2A,1
DIRC1,6
DIRC2,7
DIS3L2,12
DISC1,7
DIXDC1,11
DKFZP564J102,10
DKFZp686I15217,6
DKK2,16
DKK3,19
DLAT,7
DLEU2L,3
DLEU7,10
DLK1,5
DLL3,11
DMD,1
DMKN,11
DMRT3,10
DMRTB1,12
DNA2,1
DNAH1,8
DNAH5,1
DNAH7,16
DNAH9,18
DNAI2,16
DNAJA1,13
DNAJA2,14
DNAJB12,6
DNAJB2,8
DNAJB5,1
DNAJC10,14
DNAJC15,7
DNAJC17,6
DNAJC19,20
DNAJC21,5
DNAJC22,18
DNAJC24,7
DNAJC25,14
DNAJC3,19
DNAJC5,17
DNAL4,16
DNASE1L1,7
DNASE1L2,9
DOCK11,14
DOCK7,10
DONSON,11
DPF2,8
DPF3,10
DPH2,5
DPM1,13
DPP4,7
DPPA2,18
DPY19L3,5
DPYSL3,20
DR1,13
DRD1IP,18
DRD3,4
DRGX,10
DRP2,11
DSCAM,17
DSCR5,11
DSE,7
DSTN,12
DTWD1,5
DTX1,6
DUS4L,20
DUSP13,9
DUSP14,16
DUSP15,15
DUSP18,12
DUSP27,20
DYDC1,4
DYNC1I2,14
DYNC1LI2,14
EAF1,17
EAF2,14
EBAG9,4
ECEL1,2
EDA,4
EDARADD,1
EDN3,11
EDNRB,18
EEF1B2,7
EEF1G,13
EEFSEC,20
EFCAB6,6
EFCAB7,4
EFEMP1,3
EFEMP2,19
EFHA1,13
EFHD1,1
EFHD2,8
EFNA3,1
EFNA4,12
EFR3A,13
EFTUD1,4
EGFR,9
EHBP1,17
EIF1AX,4
EIF2A,14
EIF2B4,19
EIF3D,14
EIF3E,13
EIF4A2,13
EIF4EBP2,12
EIF4ENIF1,14
EIF4G2,14
EIF5B,6
ELA3A,18
ELF4,8
ELK1,6
ELMO2,14
ELOVL4,20
ELP4,19
EMP1,14
ENOSF1,17
ENOX2,11
ENTPD2,9
ENTPD8,19
ENY2,13
EPB41L1,16
EPHA10,16
EPHA3,3
EPHA8,12
EPHB2,11
EPM2A,1
EPPB9,11
EPYC,9
ERAP1,19
ERCC4,3
ERCC8,11
ERH,13
ERLIN2,1
ERO1LB,20
ERP27,6
ESRP2,11
ESRRG,20
ETF1,7
ETHE1,4
ETV4,18
EVC,3
EVC2,1
EVI2A,14
EXOC1,8
EXOC3L2,10
EXOC5,19
EXOC6,14
EXOG,8
EXOSC1,7
EXT2,1
EYA3,10
EZH1,8
EZH2,19
FAF1,14
FAF2,19
FAHD1,3
FAM100B,12
FAM102B,19
FAM107A,1
FAM108A1,18
FAM108B1,9
FAM109B,11
FAM10A7,7
FAM110B,11
FAM116A,13
FAM126B,2
FAM133B,14
FAM139A,2
FAM14B,11
FAM155B,8
FAM163A,9
FAM177A1,11
FAM188A,7
FAM188B,6
FAM18B,14
FAM18B2,3
